Date,Close,Volume,Market Capitalization,Operating Expenses to Revenue,Operating Cash Flow to CapEx
2008-09-29,3.759285926818848,2622057200,65666306687.6,0.11835,11.616519
2008-09-30,4.059286117553711,1626682400,65666306687.6,0.11835,11.616519
2008-10-01,3.8971428871154794,1296484000,65666306687.6,0.11835,11.616519
2008-10-02,3.575000047683716,1609364400,65666306687.6,0.11835,11.616519
2008-10-03,3.4667859077453613,2294398400,65666306687.6,0.11835,11.616519
2008-10-06,3.505000114440918,2107417200,65666306687.6,0.11835,11.616519
2008-10-07,3.184286117553711,1878772000,65666306687.6,0.11835,11.616519
2008-10-08,3.2067859172821045,2207741200,65666306687.6,0.11835,11.616519
2008-10-09,3.169286012649536,1617383600,65666306687.6,0.11835,11.616519
2008-10-10,3.457143068313598,2219299600,65666306687.6,0.11835,11.616519
2008-10-13,3.937856912612915,1539076000,65666306687.6,0.11835,11.616519
2008-10-14,3.717143058776856,1980994400,65666306687.6,0.11835,11.616519
2008-10-15,3.49821400642395,1584175600,65666306687.6,0.11835,11.616519
2008-10-16,3.638928890228272,1980521200,65666306687.6,0.11835,11.616519
2008-10-17,3.478570938110352,1762227600,65666306687.6,0.11835,11.616519
2008-10-20,3.515713930130005,1549170000,65666306687.6,0.11835,11.616519
2008-10-21,3.2674999237060547,2193660000,65666306687.6,0.11835,11.616519
2008-10-22,3.4596428871154785,2248808800,65666306687.6,0.11835,11.616519
2008-10-23,3.508213996887207,1675430400,65666306687.6,0.11835,11.616519
2008-10-24,3.442142963409424,1590058400,65666306687.6,0.11835,11.616519
2008-10-27,3.288928985595703,1208771200,65666306687.6,0.11835,11.616519
2008-10-28,3.568213939666748,1634133200,65666306687.6,0.11835,11.616519
2008-10-29,3.733928918838501,1950978400,65666306687.6,0.11835,11.616519
2008-10-30,3.9657139778137207,1638089600,65666306687.6,0.11835,11.616519
2008-10-31,3.8424999713897705,1659756000,65666306687.6,0.11835,11.616519
2008-11-03,3.819999933242798,1057938000,65666306687.6,0.11835,11.616519
2008-11-04,3.9639289379119873,1398681200,65666306687.6,0.11835,11.616519
2008-11-05,3.68928599357605,1256455200,65666306687.6,0.11835,11.616519
2008-11-06,3.539285898208618,1319074400,65666306687.6,0.11835,11.616519
2008-11-07,3.508570909500122,1095253600,65666306687.6,0.11835,11.616519
2008-11-10,3.424285888671875,1123822000,65666306687.6,0.11835,11.616519
2008-11-11,3.384643077850342,1224538000,65666306687.6,0.11835,11.616519
2008-11-12,3.2185709476470947,1178976400,65666306687.6,0.11835,11.616519
2008-11-13,3.444286108016968,1854087200,65666306687.6,0.11835,11.616519
2008-11-14,3.2228569984436035,1405266800,65666306687.6,0.11835,11.616519
2008-11-17,3.147856950759888,1162526400,65666306687.6,0.11835,11.616519
2008-11-18,3.211071014404297,1209695200,65666306687.6,0.11835,11.616519
2008-11-19,3.0817859172821045,1171900800,65666306687.6,0.11835,11.616519
2008-11-20,2.874643087387085,1716814400,65666306687.6,0.11835,11.616519
2008-11-21,2.949285984039306,1569271200,65666306687.6,0.11835,11.616519
2008-11-24,3.319643020629883,1442257600,65666306687.6,0.11835,11.616519
2008-11-25,3.242856979370117,1235292800,65666306687.6,0.11835,11.616519
2008-11-26,3.392857074737549,899836000,65666306687.6,0.11835,11.616519
2008-11-28,3.309643030166626,297774400,65666306687.6,0.11835,11.616519
2008-12-01,3.1760709285736084,923767600,65666306687.6,0.11835,11.616519
2008-12-02,3.302500009536743,1148722400,65666306687.6,0.11835,11.616519
2008-12-03,3.424999952316284,1338680000,65666306687.6,0.11835,11.616519
2008-12-04,3.2646429538726807,1091370000,65666306687.6,0.11835,11.616519
2008-12-05,3.357142925262451,1043795200,65666306687.6,0.11835,11.616519
2008-12-08,3.561429023742676,1185142000,65666306687.6,0.11835,11.616519
2008-12-09,3.573570966720581,1203496000,65666306687.6,0.11835,11.616519
2008-12-10,3.507499933242798,938047600,65666306687.6,0.11835,11.616519
2008-12-11,3.392857074737549,1040617200,65666306687.6,0.11835,11.616519
2008-12-12,3.509643077850342,1041174400,65666306687.6,0.11835,11.616519
2008-12-15,3.3839290142059326,891758000,65666306687.6,0.11835,11.616519
2008-12-16,3.4082140922546387,1093506400,65666306687.6,0.11835,11.616519
2008-12-17,3.184286117553711,1293860400,65666306687.6,0.11835,11.616519
2008-12-18,3.1939289569854736,857416000,65666306687.6,0.11835,11.616519
2008-12-19,3.214286088943481,801920000,65666306687.6,0.11835,11.616519
2008-12-22,3.062143087387085,844740400,65666306687.6,0.11835,11.616519
2008-12-23,3.0850000381469727,635031600,65666306687.6,0.11835,11.616519
2008-12-24,3.0371429920196533,271334000,65666306687.6,0.11835,11.616519
2008-12-26,3.064642906188965,308324800,65666306687.6,0.11835,11.616519
2008-12-29,3.09321403503418,686000000,81903178897.9,0.143549,8.41
2008-12-30,3.0817859172821045,967601600,81903178897.9,0.143549,8.41
2008-12-31,3.0482139587402344,607541200,81903178897.9,0.143549,8.41
2009-01-02,3.2410709857940674,746015200,81903178897.9,0.143549,8.41
2009-01-05,3.377856969833374,1181608400,81903178897.9,0.143549,8.41
2009-01-06,3.322143077850342,1289310400,81903178897.9,0.143549,8.41
2009-01-07,3.250356912612915,753048800,81903178897.9,0.143549,8.41
2009-01-08,3.31071400642395,673500800,81903178897.9,0.143549,8.41
2009-01-09,3.234999895095825,546845600,81903178897.9,0.143549,8.41
2009-01-12,3.166429042816162,617716400,81903178897.9,0.143549,8.41
2009-01-13,3.132499933242798,798397600,81903178897.9,0.143549,8.41
2009-01-14,3.047499895095825,1021664000,81903178897.9,0.143549,8.41
2009-01-15,2.977857112884521,1831634000,81903178897.9,0.143549,8.41
2009-01-16,2.940356969833374,1047625600,81903178897.9,0.143549,8.41
2009-01-20,2.7928569316864014,919914800,81903178897.9,0.143549,8.41
2009-01-21,2.958214044570923,1089270000,81903178897.9,0.143549,8.41
2009-01-22,3.15571403503418,1409528400,81903178897.9,0.143549,8.41
2009-01-23,3.15571403503418,763770000,81903178897.9,0.143549,8.41
2009-01-26,3.2014288902282715,692238400,81903178897.9,0.143549,8.41
2009-01-27,3.240356922149658,618038400,81903178897.9,0.143549,8.41
2009-01-28,3.364285945892334,861406000,81903178897.9,0.143549,8.41
2009-01-29,3.3214290142059326,592729200,81903178897.9,0.143549,8.41
2009-01-30,3.2189290523529053,651478800,81903178897.9,0.143549,8.41
2009-02-02,3.268213987350464,558247200,81903178897.9,0.143549,8.41
2009-02-03,3.320713996887207,599309200,81903178897.9,0.143549,8.41
2009-02-04,3.341070890426636,808421600,81903178897.9,0.143549,8.41
2009-02-05,3.444999933242798,749246400,81903178897.9,0.143549,8.41
2009-02-06,3.561429023742676,687209600,81903178897.9,0.143549,8.41
2009-02-09,3.6610710620880127,715010800,81903178897.9,0.143549,8.41
2009-02-10,3.493928909301758,849060800,81903178897.9,0.143549,8.41
2009-02-11,3.4578568935394287,674973600,81903178897.9,0.143549,8.41
2009-02-12,3.5453569889068604,817188400,81903178897.9,0.143549,8.41
2009-02-13,3.541429042816162,608977600,81903178897.9,0.143549,8.41
2009-02-17,3.376070976257324,678238400,81903178897.9,0.143549,8.41
2009-02-18,3.370357036590576,684779200,81903178897.9,0.143549,8.41
2009-02-19,3.237143039703369,922804400,81903178897.9,0.143549,8.41
2009-02-20,3.257143020629883,750316000,81903178897.9,0.143549,8.41
2009-02-23,3.1053569316864014,786982000,81903178897.9,0.143549,8.41
2009-02-24,3.2232139110565186,807105600,81903178897.9,0.143549,8.41
2009-02-25,3.255713939666748,833053200,81903178897.9,0.143549,8.41
2009-02-26,3.185357093811035,629868400,81903178897.9,0.143549,8.41
2009-02-27,3.189642906188965,706658400,81903178897.9,0.143549,8.41
2009-03-02,3.140713930130005,770929600,81903178897.9,0.143549,8.41
2009-03-03,3.1560709476470947,724340400,81903178897.9,0.143549,8.41
2009-03-04,3.256071090698242,741403600,81903178897.9,0.143549,8.41
2009-03-05,3.17285704612732,706899200,81903178897.9,0.143549,8.41
2009-03-06,3.046428918838501,1011147200,81903178897.9,0.143549,8.41
2009-03-09,2.96821403503418,698297600,81903178897.9,0.143549,8.41
2009-03-10,3.165357112884521,844258800,81903178897.9,0.143549,8.41
2009-03-11,3.309999942779541,846372800,81903178897.9,0.143549,8.41
2009-03-12,3.441071033477783,768457200,81903178897.9,0.143549,8.41
2009-03-13,3.4260709285736084,601168400,81903178897.9,0.143549,8.41
2009-03-16,3.4078569412231445,797244000,81903178897.9,0.143549,8.41
2009-03-17,3.559286117553711,786646000,81903178897.9,0.143549,8.41
2009-03-18,3.625714063644409,796037200,81903178897.9,0.143549,8.41
2009-03-19,3.629286050796509,500180800,81903178897.9,0.143549,8.41
