,Ticker,Company Name,Start date,Start date_for_index,End date,Fiscal Year,Fiscal Period,Revenue Growth,Net Operating Profit after Tax (NOPAT),NOPAT Margin,Invested Capital,Invested Capital Turnover,Increase / (Decrease) in Invested Capital,Free Cash Flow to Firm (FCFF),Net Nonoperating Expense (NNE),Net Nonoperating Obligations (NNO),Earnings before Interest and Taxes (EBIT),Total Depreciation and Amortization (D&A),"Earnings before Interest, Taxes, Depreciation and Amortization (EBITDA)",Capital Expenditures (CapEx),"Debt-free, Cash-free Net Working Capital (DFCFNWC)",Debt-free Net Working Capital (DFNWC),Net Working Capital (NWC),Total Debt,Total Long-Term Debt,Net Debt,Total Capital,Book Value per Share,Tangible Book Value per Share,Market Capitalization,Enterprise Value (EV),Price to Book Value (P/BV),Price to Tangible Book Value (P/TBV),Price to Revenue (P/Rev),Price to Earnings (P/E),Dividend Yield,Earnings Yield,Enterprise Value to Invested Capital (EV/IC),Enterprise Value to Revenue (EV/Rev),Enterprise Value to EBITDA (EV/EBITDA),Enterprise Value to EBIT (EV/EBIT),Enterprise Value to NOPAT (EV/NOPAT),Enterprise Value to Operating Cash Flow (EV/OCF),Enterprise Value to Free Cash Flow (EV/FCFF),EBITDA Growth,EBIT Growth,NOPAT Growth,Net Income Growth,EPS Growth,Operating Cash Flow Growth,Free Cash Flow Firm Growth,Invested Capital Growth,Revenue Q/Q Growth,EBITDA Q/Q Growth,EBIT Q/Q Growth,NOPAT Q/Q Growth,Net Income Q/Q Growth,EPS Q/Q Growth,Operating Cash Flow Q/Q Growth,Free Cash Flow Firm Q/Q Growth,Invested Capital Q/Q Growth,Gross Margin,EBITDA Margin,Operating Margin,EBIT Margin,Profit (Net Income) Margin,Cost of Revenue to Revenue,SG&A Expenses to Revenue,R&D to Revenue,Operating Expenses to Revenue,Tax Burden Percent,Interest Burden Percent,Effective Tax Rate,Asset Turnover,Accounts Receivable Turnover,Inventory Turnover,Fixed Asset Turnover,Accounts Payable Turnover,Days Sales Outstanding (DSO),Days Inventory Outstanding (DIO),Days Payable Outstanding (DPO),Cash Conversion Cycle (CCC),Financial Leverage,Leverage Ratio,Compound Leverage Factor,Long-Term Debt to Equity,Debt to Equity,Return on Invested Capital (ROIC),Net Nonoperating Expense Percent (NNEP),ROIC Less NNEP Spread (ROIC-NNEP),Return on Net Nonoperating Assets (RNNOA),Return on Equity (ROE),Cash Return on Invested Capital (CROIC),Operating Return on Assets (OROA),Return on Assets (ROA),Noncontrolling Interest Sharing Ratio,Return on Common Equity (ROCE),Dividend Payout Ratio,Augmented Payout Ratio,Operating Cash Flow to CapEx,Short-Term Debt to Total Capital,Long-Term Debt to Total Capital,Debt to Total Capital,Preferred Equity to Total Capital,Noncontrolling Interests to Total Capital,Common Equity to Total Capital,Debt to EBITDA,Net Debt to EBITDA,Long-Term Debt to EBITDA,Debt to NOPAT,Net Debt to NOPAT,Long-Term Debt to NOPAT,Altman Z-Score,EBIT to Interest Expense,NOPAT to Interest Expense,EBIT Less CapEx to Interest Expense,NOPAT Less CapEx to Interest Expense,Operating Cash Flow to Interest Expense,Operating Cash Flow Less CapEx to Interest Expense,Free Cash Flow to Firm to Interest Expense,Current Ratio,Quick Ratio,"Debt-free, Cash-free Net Working Capital to Revenue",Debt-free Net Working Capital to Revenue,Net Working Capital to Revenue,Normalized Net Operating Profit after Tax (NOPAT),Normalized NOPAT Margin,Pre Tax Income Margin,Adjusted Weighted Average Basic Shares Outstanding,Adjusted Basic Earnings per Share,Adjusted Weighted Average Diluted Shares Outstanding,Adjusted Diluted Earnings per Share,Adjusted Weighted Average Basic & Diluted Shares Outstanding,Adjusted Basic & Diluted Earnings per Share
0,AAPL,Apple Inc,2008-09-28,2008-09-28,2008-12-27,2009,Q1,0.0,2145675053.7,0.180612,0.0,0.0,0.0,0.0,-109324946.3,0.0,3259000000.0,168000000.0,3427000000.0,339000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65666306687.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08312,0.0,0.0,0.379377,0.288468,0.261027,0.274327,0.189815,0.620623,0.091835,0.026515,0.11835,0.69193,1.0,0.30807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.616519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145675053.7,0.180612,0.274327,24895976000.0,0.09,25241832000.0,0.09,0.0,0.0
0,AAPL,Apple Inc,2008-12-28,2008-12-28,2009-03-28,2009,Q2,0.0,1577225482.0,0.173627,0.0,0.0,0.0,0.0,-42774518.0,0.0,2386000000.0,181000000.0,2567000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81903178897.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.250948,-0.267874,-0.264928,0.0,0.0,0.0,0.0,0.0,0.399273,0.282585,0.255724,0.26266,0.178336,0.600727,0.108432,0.035117,0.143549,0.678961,1.0,0.321039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1577225482.0,0.173627,0.26266,0.0,0.0,0.0,0.0,0.0,0.0
0,AAPL,Apple Inc,2009-03-29,2009-03-29,2009-06-27,2009,Q3,0.304126,1787257057.9,0.18361,-5233000000.0,0.0,-5233000000.0,7020257057.9,-40742942.1,-31121000000.0,2692000000.0,182000000.0,2874000000.0,246000000.0,-5713000000.0,18509000000.0,18509000000.0,0.0,0.0,-31121000000.0,25888000000.0,28.9668,28.4454,109929469741.0,78808469741.0,4.2463,4.3242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9472,0.0,0.903311,0.782781,0.808548,0.705224,0.689076,0.0,0.0,0.0,0.071554,0.119595,0.128248,0.133165,0.128395,0.122905,1.699168,0.0,0.0,0.409184,0.295254,0.270392,0.276556,0.187795,0.590816,0.10376,0.035032,0.138792,0.679049,1.0,0.320951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2021,1.8595,1.8595,0.0,0.0,0.0,0.002618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.227642,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1109,1.615,0.0,0.0,0.0,1787257057.9,0.18361,0.276556,25023936000.0,0.05,25456480000.0,0.05,25082869224.0,0.0
0,AAPL,Apple Inc,2009-06-28,2009-06-28,2009-09-26,2009,Q4,0.0,2501444891.4,0.204919,-2352000000.0,-18.2419,0.0,0.0,-30555108.6,-33992000000.0,3729000000.0,203000000.0,3932000000.0,459000000.0,-3415000000.0,20049000000.0,20049000000.0,0.0,0.0,-33992000000.0,31640000000.0,35.3197,34.814,140412226970.0,106420226970.0,4.4378,4.5023,3.2726,17.0507,0.0,0.058649,0.0,2.4804,8.3141,8.8198,13.2818,10.4755,0.0,0.0,0.0,0.0,0.0,0.0,-0.275902,0.0,0.0,0.254058,0.368128,0.385215,0.3996,0.38512,0.383085,0.370044,-1.0,0.550545,0.418203,0.32211,0.301794,0.30548,0.207422,0.581797,0.087081,0.029327,0.116409,0.679002,1.0,0.320998,1.0256,14.8383,53.2842,15.8643,4.6188,24.5985,6.8501,79.0244,-47.5758,-1.0743,1.5513,1.5513,0.0,0.0,0.0,0.000899,0.0,0.0,0.305356,0.0,0.313286,0.212722,0.0,0.305356,0.0,0.0,6.775599,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7425,2.4788,-0.079594,0.467288,0.467288,2501444891.4,0.204919,0.30548,25004448000.0,0.1,25396140000.0,0.1,25218997244.0,0.0
0,AAPL,Apple Inc,2009-09-27,2009-09-27,2009-12-26,2010,Q1,0.0,3354571248.4,0.213899,0.0,0.0,0.0,3354571248.4,-23428751.6,0.0,4758000000.0,209000000.0,4967000000.0,376000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163213704905.7,0.0,0.0,0.0,3.4943,17.4411,0.0,0.057336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449373,0.459957,0.563411,0.0,0.0,0.0,0.0,0.0,0.284755,0.263225,0.275945,0.341053,0.334123,0.320144,0.858842,0.0,1.0,0.408787,0.316712,0.301282,0.303386,0.215392,0.591213,0.082127,0.025378,0.107505,0.709962,1.0,0.290038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3354571248.4,0.213899,0.303386,0.0,0.0,0.0,0.0,0.0,0.0
0,AAPL,Apple Inc,2009-12-27,2009-12-27,2010-03-27,2010,Q2,0.486019,3035851576.1,0.224895,-2356000000.0,-43.3981,-2356000000.0,5391851576.1,-38148423.9,-41704000000.0,4029000000.0,216000000.0,4245000000.0,274000000.0,-3048000000.0,20107000000.0,20107000000.0,0.0,0.0,-41704000000.0,39348000000.0,43.3564,42.5377,180888132140.5,139184132140.5,4.5971,4.6856,3.5383,16.7303,0.0,0.059772,0.0,2.7225,8.6892,9.152,13.0342,10.3168,0.0,0.653681,0.6886,0.924805,0.897531,0.860335,1.770511,0.0,0.0,-0.139259,-0.145359,-0.153216,-0.095011,-0.089994,-0.092643,-0.596956,0.607315,0.0,0.416698,0.314468,0.294763,0.298467,0.227721,0.583302,0.090377,0.031558,0.121935,0.762968,1.0,0.237032,0.896,17.7141,47.0204,14.5899,5.2946,20.605,7.7626,68.9386,-40.571,-1.0599,1.4501,1.4501,0.0,0.0,0.0,0.001829,0.0,0.0,0.274779,0.0,0.267426,0.204037,0.0,0.274779,0.0,0.0,8.50365,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6442,2.1294,-0.059621,0.393306,0.393306,3035851576.1,0.224895,0.298467,25411344000.0,0.12,25840584000.0,0.12,25478274724.0,0.0
0,AAPL,Apple Inc,2010-03-28,2010-03-28,2010-06-26,2010,Q3,0.612903,3209040540.5,0.204397,-2728000000.0,-14.3422,2505000000.0,704040540.5,-43959459.5,-45839000000.0,4292000000.0,273000000.0,4565000000.0,595000000.0,-3867000000.0,20421000000.0,20421000000.0,0.0,0.0,-45839000000.0,43111000000.0,47.3779,46.2438,209948942558.5,164109942558.5,4.87,4.9894,3.6776,17.1569,0.0,0.058286,0.0,2.8746,9.267,9.7638,13.561,10.2428,0.0,0.588379,0.594354,0.795511,0.77954,0.746269,1.114978,-0.899713,0.478693,0.163049,0.075383,0.065277,0.057048,0.05823,0.054054,1.060515,-0.869425,-0.157895,0.390828,0.290764,0.269682,0.273376,0.207197,0.609172,0.091592,0.029554,0.121146,0.757922,1.0,0.242078,1.0116,18.617,51.1528,17.1877,5.0757,19.6057,7.1355,71.9108,-45.1696,-1.1154,1.6357,1.6357,0.0,0.0,0.0,0.001142,0.0,0.0,0.354701,0.0,0.276556,0.209608,0.0,0.354701,0.0,0.0,8.068908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.308,1.9656,-0.067736,0.357705,0.357705,3209040540.5,0.204397,0.273376,25541516000.0,0.13,25966108000.0,0.13,25579760640.0,0.0
0,AAPL,Apple Inc,2010-06-27,2010-06-27,2010-09-25,2010,Q4,0.666503,4296955868.9,0.211225,-3220000000.0,-23.4117,-868000000.0,5164955868.9,-11044131.1,-51011000000.0,5461000000.0,329000000.0,5790000000.0,760000000.0,-4664000000.0,20956000000.0,20956000000.0,0.0,0.0,-51011000000.0,47791000000.0,52.3128,51.1273,229459937865.3,178448937865.3,4.8013,4.9126,3.518,16.3748,0.0,0.061069,0.0,2.7359,9.1199,9.6251,12.8419,9.5966,12.0869,0.472533,0.464468,0.71779,0.701422,0.669065,0.827331,0.0,-0.369048,0.295732,0.268346,0.272367,0.339016,0.324316,0.321937,0.183712,6.336163,-0.180352,0.369267,0.284619,0.267758,0.268446,0.211768,0.630733,0.077226,0.024284,0.101509,0.788867,1.0,0.211133,1.0633,14.7052,52.5113,16.8933,4.4892,24.8211,6.9509,81.306,-49.534,-1.0701,1.5445,1.5445,0.0,0.0,0.0,0.00026,0.0,0.0,0.352835,0.0,0.285439,0.225173,0.0,0.352835,0.0,0.0,7.477632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0113,1.7153,-0.071506,0.321288,0.321288,4296955868.9,0.211225,0.268446,25464908000.0,0.17,25891936000.0,0.17,25684598772.0,0.0
0,AAPL,Apple Inc,2010-09-26,2010-09-26,2010-12-25,2011,Q1,0.705095,5901457742.1,0.220689,-5041000000.0,-30.265,-5041000000.0,10942457742.1,-102542257.9,-59707000000.0,7963000000.0,356000000.0,8319000000.0,1214000000.0,-6845000000.0,20132000000.0,20132000000.0,0.0,0.0,-59707000000.0,54666000000.0,59.594,58.2171,256332505838.5,196625505838.5,4.6891,4.8,3.3603,15.4055,0.0,0.064912,0.0,2.5776,8.5791,9.0423,11.959,8.7053,9.1528,0.674854,0.673602,0.759229,0.777383,0.752044,0.690538,2.261954,0.0,0.314506,0.436788,0.458158,0.373404,0.393686,0.385776,0.71969,1.118597,-0.565528,0.385102,0.311095,0.292697,0.297782,0.224524,0.614898,0.070902,0.021503,0.092405,0.753987,1.0,0.246013,0.8794,12.6569,52.7819,12.9998,3.2663,28.8381,6.9152,111.7457,-75.9924,-1.0922,1.5868,1.5868,0.0,0.0,0.0,0.003435,0.0,0.0,0.304376,0.0,0.261877,0.197452,0.0,0.304376,0.0,0.0,8.050247,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8461,1.5907,-0.089732,0.263912,0.263912,5901457742.1,0.220689,0.297782,25740232000.0,0.23,26128312000.0,0.23,25795784336.0,0.0
0,AAPL,Apple Inc,2010-12-26,2010-12-26,2011-03-26,2011,Q2,0.827321,5967295949.4,0.241914,-4290000000.0,-26.3169,-1934000000.0,7901295949.4,-19704050.6,-65767000000.0,7900000000.0,434000000.0,8334000000.0,624000000.0,-6564000000.0,22670000000.0,22670000000.0,0.0,0.0,-65767000000.0,61477000000.0,66.7301,65.3755,279297122312.9,213530122312.9,4.5431,4.6373,3.1938,14.2848,0.0,0.070004,0.0,2.4417,7.9062,8.3358,11.0218,8.065,10.0214,0.963251,0.960784,0.965609,0.947625,0.921922,1.669099,0.465414,-0.820883,-0.077559,0.001803,-0.007912,0.011156,-0.002831,-0.004666,-0.363655,-0.277923,0.148978,0.414238,0.33786,0.319212,0.320266,0.242713,0.585762,0.071472,0.023554,0.095026,0.757848,1.0,0.242152,1.151,20.1407,67.9681,17.9479,5.4992,18.1225,5.3702,66.3736,-42.8809,-1.0659,1.5072,1.5072,0.0,0.0,0.0,0.000367,0.0,0.0,0.38784,0.0,0.368615,0.279354,0.0,0.38784,0.0,0.0,9.966346,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9319,1.6578,-0.075059,0.259231,0.259231,5967295949.4,0.241914,0.320266,25849488000.0,0.23,26206432000.0,0.23,25893127708.0,0.0
